name
"1STPRIMFMF"
"ACI"
"ACIFORMULA"
"ACMEPL"
"ACTIVEFINE"
"ADVENT"
"AFTABAUTO"
"AIL"
"ALLTEX"
"AMANFEED"
"ANWARGALV"
"AOL"
"BATBC"
"BBSCABLES"
"BDFINANCE"
"BDTHAI"
"BESTHLDNG"
"BIFC"
"BPML"
"BSC"
"BSCPLC"
"BSRMLTD"
"BXPHARMA"
"CAPITECGBF"
"CAPMIBBLMF"
"CENTRALPHL"
"CLICL"
"CRYSTALINS"
"DACCADYE"
"DESHBANDHU"
"DGIC"
"DHAKABANK"
"DHAKAINS"
"DOMINAGE"
"DOREENPWR"
"DSSL"
"EASTERNINS"
"EGEN"
"EMERALDOIL"
"EPGL"
"ETL"
"EXIMBANK"
"FAMILYTEX"
"FEDERALINS"
"FEKDIL"
"FIRSTSBANK"
"FORTUNE"
"FUWANGCER"
"FUWANGFOOD"
"GEMINISEA"
"GHAIL"
"GIB"
"GLDNJMF"
"GPHISPAT"
"GQBALLPEN"
"HAKKANIPUL"
"HAMI"
"ICB"
"ICBSONALI1"
"ICICL"
"IDLC"
"IFADAUTOS"
"IFIC"
"INTRACO"
"IPDC"
"ISLAMIBANK"
"JAMUNABANK"
"JANATAINS"
"KBPPWBIL"
"KOHINOOR"
"KPCL"
"KPPL"
"KTL"
"LANKABAFIN"
"LEGACYFOOT"
"LHB"
"LIBRAINFU"
"LINDEBD"
"LOVELLO"
"MAGURAPLEX"
"MAKSONSPIN"
"MEGCONMILK"
"MEGHNAINS"
"MERCANBANK"
"MJLBD"
"MLDYEING"
"MONNOFABR"
"MONOSPOOL"
"NATLIFEINS"
"NAVANACNG"
"NCCBANK"
"NEWLINE"
"NITOLINS"
"NRBBANK"
"NTC"
"OAL"
"OIMEX"
"OLYMPIC"
"ORIONINFU"
"PADMAOIL"
"PARAMOUNT"
"PDL"
"PEOPLESINS"
"POPULAR1MF"
"POWERGRID"
"PREMIERBAN"
"PRIMEBANK"
"PRIMELIFE"
"PROGRESLIF"
"PROVATIINS"
"PTL"
"QUEENSOUTH"
"RAHIMAFOOD"
"RAKCERAMIC"
"RDFOOD"
"RENATA"
"ROBI"
"RUNNERAUTO"
"RUPALIBANK"
"RUPALILIFE"
"SAIFPOWER"
"SAIHAMCOT"
"SAMATALETH"
"SAMORITA"
"SEAPEARL"
"SHARPIND"
"SHASHADNIM"
"SHURWID"
"SILCOPHL"
"SINOBANGLA"
"SKTRIMS"
"SONALIANSH"
"SONALIPAPR"
"SONARGAON"
"SQURPHARMA"
"SUNLIFEINS"
"TAKAFULINS"
"TAMIJTEX"
"TILIL"
"TRUSTBANK"
"UNITEDINS"
"WALTONHIL"
"YPL"
"ABBANK"
"ACFL"
"ACMELAB"
"AGNISYSL"
"APEXFOODS"
"ARAMITCEM"
"BAYLEASING"
"BDCOM"
"BDTHAIFOOD"
"BDWELDING"
"BEACHHATCH"
"BPPL"
"BRACBANK"
"CITYBANK"
"CONFIDCEM"
"DELTALIFE"
"DUTCHBANGL"
"EASTLAND"
"EASTRNLUB"
"ECABLES"
"GBBPOWER"
"GHCL"
"GLOBALINS"
"GRAMEENS2"
"GREENDELMF"
"GSPFINANCE"
"IBNSINA"
"IBP"
"INTECH"
"KAY&QUE"
"KEYACOSMET"
"LRBDL"
"MERCINS"
"METROSPIN"
"MIRACLEIND"
"MIRAKHTER"
"MITHUNKNIT"
"MONNOAGML"
"MTB"
"NFML"
"ONEBANKPLC"
"PRIMEINSUR"
"RELIANCINS"
"SBACBANK"
"SHYAMPSUG"
"SILVAPHL"
"SONARBAINS"
"SPCERAMICS"
"SQUARETEXT"
"STYLECRAFT"
"UCB"
"UNIQUEHRL"
"WMSHIPYARD"
"ZEALBANGLA"
"ADNTEL"
"AFCAGRO"
"ARGONDENIM"
"BANGAS"
"BDAUTOCA"
"BEACONPHAR"
"BENGALWTL"
"BSRMSTEEL"
"DBH"
"EHL"
"ESQUIRENIT"
"IFIC1STMF"
"ISNLTD"
"MALEKSPIN"
"MEGHNAPET"
"MIDLANDBNK"
"MONNOCERA"
"NAHEEACP"
"NTLTUBES"
"PHARMAID"
"PRAGATILIF"
"SPCL"
"TOSRIFA"
"UPGDCL"
"ZAHEENSPIN"
"AAMRATECH"
"APEXTANRY"
"APOLOISPAT"
"BDLAMPS"
"COPPERTECH"
"DSHGARME"
"GP"
"INDEXAGRO"
"LRGLOBMF1"
"PENINSULA"
"PREMIERCEM"
"REGENTTEX"
"RENWICKJA"
"RINGSHINE"
"SICL"
"TITASGAS"
"UNIONCAP"
"UTTARABANK"
"ALARABANK"
"ANLIMAYARN"
"APEXFOOT"
"ATCSLGF"
"CVOPRL"
"DELTASPINN"
"FBFIF"
"MATINSPINN"
"MEGHNALIFE"
"MPETROLEUM"
"NBL"
"NRBCBANK"
"NURANI"
"PHOENIXFIN"
"PIONEERINS"
"PUBALIBANK"
"RANFOUNDRY"
"RECKITTBEN"
"SALAMCRST"
"SALVOCHEM"
"SOUTHEASTB"
"TUNGHAI"
"BNICL"
"DESCO"
"EBL1STMF"
"GENNEXT"
"GREENDELT"
"ILFSL"
"KDSALTD"
"NPOLYMER"
"PRIMETEX"
"SAPORTL"
"SIBL"
"SINGERBD"
"SONALILIFE"
"DAFODILCOM"
"FAREASTLIF"
"NAVANAPHAR"
"POPULARLIF"
"SHAHJABANK"
"SIPLC"
"STANDBANKL"
"VFSTDL"
"EIL"
"MARICO"
"PHPMF1"
"SIMTEX"
"ABB1STMF"
"AMBEEPHA"
"ASIAINS"
"BARKAPOWER"
"SAIHAMTEX"
"APEXSPINN"
"HEIDELBCEM"
"ITC"
"JMISMDL"
"JUTESPINN"
"NHFIL"
"PLFSL"
